project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
dunning-scotland,Dunning,inside_locality,LB66,hes-listed-building:LB66,"Lynton, Chalmers Street, Dunning","'LYNTON', CHALMERS STREET.",Category C,Listed Building,Listed Building,-3.585455079963147,56.31230240996985,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB66,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB67,hes-listed-building:LB67,"Thorntree Court, Dunning","THORNTREE COURT, OFF YETTS OF MUCKHART ROAD.",Category C,Listed Building,Listed Building,-3.5880794833355125,56.31204414365939,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB67,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB68,hes-listed-building:LB68,"Smith's Property, Tron Square, Dunning","J. SMITH, TRON SQUARE.",Category C,Listed Building,Listed Building,-3.5879274692308427,56.312666095715855,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB68,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,heritage_buffer,LB5914,hes-listed-building:LB5914,"Chapel, Duncrub House","DUNCRUB CHAPEL, (NOW SHED: MR. MARSHALL).",Category B,Listed Building,Listed Building,-3.6007853937876324,56.315888112161694,high,"Matthew Habershon (Habershon and Pite, London) 1858",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5914,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5915,hes-listed-building:LB5915,"Dovecot, Duncrub House",DUNCRUB DOVECOT,Category A,Listed Building,Listed Building,-3.594227971062372,56.31682632706467,high,Dated twice:-1725,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5915,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,heritage_buffer,LB5919,hes-listed-building:LB5919,Leadketty Farm,LEADKETTY FARM HOUSE.,Category B,Listed Building,Listed Building,-3.5912024527258994,56.32105250020002,high,"Early 19th century, same hand as Inverdunning but probably",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5919,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5924,hes-listed-building:LB5924,"Whytock, Chalmers Street, Dunning","WHYTOCK, CHALMERS STREET.",Category C,Listed Building,Listed Building,-3.5853122645479694,56.31236713712499,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5924,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5925,hes-listed-building:LB5925,"Dunglas, Chalmers Street, Dunning","'DUNGLAS', CHALMERS STREET.",Category C,Listed Building,Listed Building,-3.585154779226031,56.312467994059624,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5925,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5926,hes-listed-building:LB5926,"Grampian View, Chalmers Street, Dunning","'GRAMPIAN VIEW', CHALMERS STREET.",Category C,Listed Building,Listed Building,-3.584978902670962,56.3125151729283,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5926,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5927,hes-listed-building:LB5927,"Chalmers Street, Dunning","THOMSON, CHALMERS STREET.",Category C,Listed Building,Listed Building,-3.584901461573683,56.31259703393936,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5927,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5928,hes-listed-building:LB5928,"War Memorial, Perth Road, Chalmers Street, Dunning","WAR MEMORIAL, CHALMERS STREET AND PERTH ROAD.",Category C,Listed Building,Listed Building,-3.5853516513323824,56.31253735820123,high,1919,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5928,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5929,hes-listed-building:LB5929,"The Knowes, Bridge Of Earn Road, Upper Granco Street, Dunning","'THE KNOWES', UPPER GRANCO STREET AND BRIDGE OF EARN ROAD. (INCLUDING GARDEN AND COACH HOUSE).",Category C,Listed Building,Listed Building,-3.5838873976880365,56.312313485281166,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5929,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5930,hes-listed-building:LB5930,"Maryfield, Upper Granco Street, Dunning","LAWSON AND NICHOLSON, UPPER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5842326627835606,56.31245283744459,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5930,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5931,hes-listed-building:LB5931,"Hazelwood, Upper Granco Street, Dunning",'HAZELWOOD' AND ADJOINING WORKSHOP. UPPER GRANCO STREET.,Category C,Listed Building,Listed Building,-3.584517390206137,56.312691804211696,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5931,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5932,hes-listed-building:LB5932,"Caber Feidh, Upper Granco Street, Dunning","'CABER FEIDH', UPPER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5841403450644753,56.3121754666776,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5932,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5933,hes-listed-building:LB5933,"Upper Granco Street, Dunning","BATCHELOR, UPPER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.584256052872483,56.312236885245404,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5933,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5934,hes-listed-building:LB5934,"Blair Cottage, Upper Granco Street, Dunning","'GLENANNIA', 'HARRY'S MUIR', 'BLAIR COTTAGE', UPPER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5846373542681604,56.31246563067318,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5934,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5935,hes-listed-building:LB5935,"Airlie, Upper Granco Street, Dunning","PHILP, UPPER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.584736533802482,56.312518274758084,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5935,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5936,hes-listed-building:LB5936,"Tarland, Lower Granco Street, Dunning","'TARLAND' AND 'ROSE COTTAGE', LOWER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5856482979234783,56.31306370717197,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5936,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5937,hes-listed-building:LB5937,"Fornab, Lower Granco Street, Dunning",'FONAB' LOWER GRANCO STREET.,Category C,Listed Building,Listed Building,-3.5857485971939096,56.313143292750524,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5937,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5938,hes-listed-building:LB5938,"Kilard, Lower Granco Street, Dunning","'KILARD', LOWER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5858812133126206,56.313222464401065,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5938,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5939,hes-listed-building:LB5939,"Glengarry, Lower Granco Street, Dunning","'GLENGARRY', LOWER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5860134576509712,56.313292655131974,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5939,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5940,hes-listed-building:LB5940,"Harlaw, Lower Granco Street, Dunning","'HARLAW', LOWER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.586179508495305,56.31339835488747,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5940,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5941,hes-listed-building:LB5941,"Cadzow, Lower Granco Street, Dunning","HUTCHISON AND 'CADZOW', LOWER GRANCO STREET.",Category C,Listed Building,Listed Building,-3.5855745794236573,56.31323537634881,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5941,2026-08-01T08:39:34.788Z,Historic Environment Scotland
